speech_id,stratum,date,specific_topic,speaker,speaker_country,src_tokens,n_seg_ST,n_seg_TT,nrc_polarity_ST,nrc_polarity_TT,nrc_polarity_delta,valence_ST,valence_TT,valence_delta,arousal_ST,arousal_TT,arousal_delta,dominance_ST,dominance_TT,dominance_delta,pysent_polarity_ST,pysent_polarity_TT,pysent_polarity_delta,emo_dom_ST,emo_dom_TT
21-07-04-m-015,II,2004-07-21,European Council/Irish presidency,"Doyle, Avril",IRL,895,36,35,0.3472,0.4,0.0528,0.658,0.6028,-0.0552,0.4577,0.4219,-0.0358,0.6099,0.5889,-0.021,0.4519,0.1924,-0.2595,trust,trust
21-07-04-m-016,II,2004-07-21,European Council/Irish presidency,"De Rossa, Proinsias",IRL,335,14,10,0.0912,0.3667,0.2755,0.681,0.5808,-0.1002,0.4475,0.4566,0.0091,0.6203,0.5994,-0.0209,0.0303,-0.2981,-0.3284,trust,trust
21-07-04-m-017,II,2004-07-21,European Council/Irish presidency,"Harkin, Marian",IRL,299,14,12,0.3095,0.3333,0.0238,0.6672,0.6436,-0.0236,0.4929,0.4245,-0.0684,0.6041,0.6064,0.0023,0.2437,0.1911,-0.0526,anticipation,anticipation
21-07-04-m-019,II,2004-07-21,European Council/Irish presidency,"McDonald, Mary Lou",IRL,178,9,12,0.037,0.5,0.463,0.6759,0.6401,-0.0358,0.4824,0.4777,-0.0047,0.6343,0.6825,0.0482,0.4627,0.148,-0.3147,trust,trust
21-07-04-m-020,II,2004-07-21,European Council/Irish Presidency,"Sinnot, Kathy",IRL,306,18,16,0.0889,0.4792,0.3903,0.6915,0.6253,-0.0662,0.4597,0.4753,0.0156,0.6007,0.6247,0.024,0.3481,0.2357,-0.1124,trust,trust
21-07-04-m-022,II,2004-07-21,European Council/Irish Presidency,"Allister, James Hugh",GBR,354,13,15,0.3641,0.2667,-0.0974,0.633,0.5313,-0.1017,0.4593,0.4354,-0.0239,0.6185,0.5458,-0.0727,-0.0381,-0.1667,-0.1286,trust,anticipation
21-07-04-m-026,II,2004-07-21,"European Council/Irish Presidency, Sinn Féin group's expectations from new presidency","de Brún, Bairbre",GBR,223,12,9,0.375,0.7593,0.3843,0.7,0.657,-0.043,0.4267,0.4331,0.0064,0.6009,0.6236,0.0227,0.1242,-0.1572,-0.2814,trust,trust
21-07-04-m-027,II,2004-07-21,European Council/Irish presidency,"Allister, James Hugh",GBR,354,22,24,0.2924,0.1722,-0.1202,0.6724,0.5615,-0.1109,0.435,0.415,-0.02,0.6365,0.5444,-0.0921,0.1023,-0.1863,-0.2886,trust,anticipation
21-07-04-m-033,II,2004-07-21,European Council/Irish presidency,"Ahern, Bertie",IRL,2011,91,85,0.4993,0.4392,-0.0601,0.6758,0.6445,-0.0313,0.4423,0.4346,-0.0077,0.6157,0.6189,0.0032,0.366,0.3518,-0.0142,trust,trust
26-02-04-m-008,I,2004-02-26,EU-Russia relations,"Patten, Christopher",GBR,987,37,39,0.7015,0.5635,-0.138,0.6716,0.6322,-0.0394,0.4446,0.4515,0.0069,0.6209,0.5963,-0.0246,0.2728,0.1416,-0.1312,trust,trust
26-02-04-m-020,I,2004-02-26,EU-Russia relations,"Tannock, Timothy Charles Ayrton",GBR,349,13,13,0.1154,0.3077,0.1923,0.6137,0.5896,-0.0241,0.4837,0.4399,-0.0438,0.6243,0.5894,-0.0349,0.05,-0.1327,-0.1827,trust,trust
26-02-04-m-032,I,2004-02-26,EU Policy towards South Caucasus,"Patten, Christopher",GBR,845,32,31,0.5563,0.0699,-0.4864,0.6502,0.6026,-0.0476,0.4586,0.4459,-0.0127,0.6272,0.5882,-0.039,0.4348,0.2509,-0.1839,trust,trust
26-02-04-m-040,I,2004-02-26,EU Policy towards South Caucasus,"Ludford, Baroness Sarah",GBR,187,10,11,0.4667,0.303,-0.1637,0.6102,0.6103,0.0001,0.4664,0.4311,-0.0353,0.6017,0.5792,-0.0225,-0.2198,-0.1979,0.0219,trust,trust
26-02-04-m-042,I,2004-02-26,EU Policy towards South Caucasus,"Howitt, Richard",GBR,400,19,19,0.2105,0.0526,-0.1579,0.6106,0.5637,-0.0469,0.432,0.4419,0.0099,0.56,0.5371,-0.0229,-0.1715,-0.223,-0.0515,trust,anticipation
30-03-04-p-168,I,2004-03-30,"Joint initiative for peace, stability and democracy throughout the Middle East","Roche, Dick",IRL,1534,66,68,0.6495,0.5137,-0.1358,0.6483,0.6176,-0.0307,0.4304,0.4339,0.0035,0.6168,0.6083,-0.0085,0.2465,0.1816,-0.0649,trust,trust
30-03-04-p-169,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Patten, Christopher",GBR,1565,57,82,0.4281,0.3215,-0.1066,0.6181,0.5716,-0.0465,0.4574,0.4491,-0.0083,0.5966,0.5409,-0.0557,0.0203,-0.0591,-0.0794,trust,trust
30-03-04-p-170,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Cox, Patrick",IRL,273,8,10,0.875,0.36,-0.515,0.647,0.5559,-0.0911,0.4395,0.3851,-0.0544,0.6036,0.5291,-0.0745,0.3679,0.1248,-0.2431,trust,trust
30-03-04-p-185,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Sandbaek, Ulla Margrethe",DNK,223,15,16,-0.0733,0.3917,0.465,0.5733,0.5518,-0.0215,0.5364,0.498,-0.0384,0.5985,0.5951,-0.0034,-0.445,-0.5206,-0.0756,trust,anticipation
30-03-04-p-186,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Tannock, Timothy Charles Ayrton",GBR,368,13,12,0.1082,0.2972,0.189,0.5945,0.5526,-0.0419,0.4378,0.4361,-0.0017,0.5612,0.5192,-0.042,-0.1005,-0.3705,-0.27,fear,anticipation
30-03-04-p-191,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"McMillan-Scott, Edward H.C.",GBR,394,20,20,0.4012,0.4,-0.0012,0.6561,0.5728,-0.0833,0.4529,0.4338,-0.0191,0.6147,0.5882,-0.0265,0.0646,-0.1943,-0.2589,trust,trust
30-03-04-p-194,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Banotti, Mary Elizabeth",IRL,378,14,16,-0.0143,0.1167,0.131,0.6284,0.5679,-0.0605,0.4637,0.3861,-0.0776,0.5679,0.502,-0.0659,0.068,-0.024,-0.092,trust,trust
30-03-04-p-198,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"De Rossa, Proinsias",IRL,244,12,13,-0.2917,0.0205,0.3122,0.5889,0.5373,-0.0516,0.4744,0.5008,0.0264,0.557,0.5662,0.0092,-0.5592,-0.5197,0.0395,fear,anger
30-03-04-p-200,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Roche, Dick",IRL,373,18,16,0.5926,0.4917,-0.1009,0.6924,0.6003,-0.0921,0.4325,0.4729,0.0404,0.5974,0.6117,0.0143,0.4003,0.2596,-0.1407,trust,anticipation
30-03-04-p-206,I,2004-03-30,Situation in Kosovo,"Roche, Dick",IRL,1428,56,54,0.4334,0.334,-0.0994,0.6297,0.5946,-0.0351,0.4608,0.4496,-0.0112,0.6257,0.6149,-0.0108,0.1362,0.042,-0.0942,trust,trust
30-03-04-p-207,I,2004-03-30,Situation in Kosovo,"Patten, Christopher",GBR,1084,58,57,0.2167,0.0953,-0.1214,0.5848,0.5591,-0.0257,0.4693,0.4373,-0.032,0.5732,0.5369,-0.0363,-0.2201,-0.2682,-0.0481,trust,trust
31-03-04-m-009,II,2004-03-31,European Council / Security,"Ahern, Bertie",IRL,3621,161,155,0.6685,0.4843,-0.1842,0.672,0.6154,-0.0566,0.4524,0.4497,-0.0027,0.63,0.601,-0.029,0.4246,0.2966,-0.128,trust,trust
31-03-04-m-013,II,2004-03-31,European Council / Security,"Watson, Graham R.",GBR,645,40,33,0.2625,0.2626,0.0001,0.5933,0.5536,-0.0397,0.4948,0.4446,-0.0502,0.5876,0.5555,-0.0321,0.0912,0.0101,-0.0811,trust,trust
31-03-04-m-016,II,2004-03-31,European Council / Security,"Collins, Gerard",IRL,760,38,31,0.2035,0.2719,0.0684,0.5845,0.5658,-0.0187,0.4716,0.4838,0.0122,0.588,0.6005,0.0125,0.003,-0.0471,-0.0501,trust,trust
31-03-04-m-019,II,2004-03-31,European Council / Security,"Doyle, Avril",IRL,580,36,32,0.3389,0.0677,-0.2712,0.6107,0.5186,-0.0921,0.4597,0.4621,0.0024,0.6077,0.5381,-0.0696,0.0549,-0.2074,-0.2623,trust,trust
31-03-04-m-031,II,2004-03-31,European Council / Security,"Booth, Graham",GBR,197,11,8,-0.0909,0.375,0.4659,0.5951,0.6014,0.0063,0.4676,0.4198,-0.0478,0.6221,0.6112,-0.0109,-0.2279,-0.1853,0.0426,trust,trust
31-03-04-m-033,II,2004-03-31,European Council / Security,"Evans, Jonathan",GBR,399,22,22,0.5288,0.3939,-0.1349,0.628,0.6024,-0.0256,0.4367,0.4402,0.0035,0.6064,0.6233,0.0169,-0.005,-0.1032,-0.0982,trust,trust
31-03-04-m-034,II,2004-03-31,European Council / Security,"De Rossa, Proinsias",IRL,483,19,14,0.2895,0.5714,0.2819,0.6118,0.6049,-0.0069,0.493,0.5213,0.0283,0.5801,0.6371,0.057,-0.1311,-0.1712,-0.0401,fear,anticipation
31-03-04-m-043,II,2004-03-31,European Council / Security,"Corbett, Richard",GBR,551,29,33,0.3276,0.3434,0.0158,0.6406,0.5642,-0.0764,0.4313,0.4398,0.0085,0.567,0.5538,-0.0132,-0.1395,-0.2971,-0.1576,trust,anticipation
31-03-04-m-048,II,2004-03-31,European Council / Security,"Tannock, Timothy Charles Ayrton",GBR,342,16,17,-0.1313,0.0882,0.2195,0.55,0.5367,-0.0133,0.5347,0.526,-0.0087,0.6128,0.6128,0.0,-0.215,-0.2519,-0.0369,trust,trust
31-03-04-m-051,II,2004-03-31,European Council / Security,"Ahern, Bertie",IRL,3216,115,136,0.5281,0.4314,-0.0967,0.6392,0.5831,-0.0561,0.442,0.4423,0.0003,0.5964,0.5697,-0.0267,0.2477,0.1462,-0.1015,trust,trust
