speech_id,stratum,date,specific_topic,speaker,speaker_country,src_tokens,src_duration,n_seg_ST,n_seg_TT,polarity_ST,polarity_TT,delta_polarity
21-07-04-m-033,II,2004-07-21,European Council/Irish presidency,"Ahern, Bertie",IRL,2011,00:10:48,91,85,0.2088,0.1294,-0.0794
26-02-04-m-008,I,2004-02-26,EU-Russia relations,"Patten, Christopher",GBR,987,00:07:27,37,39,0.1622,0.1282,-0.034
26-02-04-m-020,I,2004-02-26,EU-Russia relations,"Tannock, Timothy Charles Ayrton",GBR,349,00:02:04,13,13,0.0,0.0769,0.0769
26-02-04-m-032,I,2004-02-26,EU Policy towards South Caucasus,"Patten, Christopher",GBR,845,00:06:25,32,31,0.2708,0.0699,-0.2009
26-02-04-m-040,I,2004-02-26,EU Policy towards South Caucasus,"Ludford, Baroness Sarah",GBR,187,00:01:10,10,11,0.0,0.0,0.0
26-02-04-m-042,I,2004-02-26,EU Policy towards South Caucasus,"Howitt, Richard",GBR,400,00:02:21,19,19,-0.1053,0.0,0.1053
30-03-04-p-168,I,2004-03-30,"Joint initiative for peace, stability and democracy throughout the Middle East","Roche, Dick",IRL,1534,00:09:15,66,68,0.2121,0.1765,-0.0356
30-03-04-p-169,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Patten, Christopher",GBR,1565,00:11:55,57,82,0.2456,0.0732,-0.1724
30-03-04-p-170,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Cox, Patrick",IRL,273,00:01:51,8,10,0.125,0.2,0.075
30-03-04-p-185,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Sandbaek, Ulla Margrethe",DNK,223,00:01:41,15,16,-0.0667,0.0625,0.1292
30-03-04-p-186,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Tannock, Timothy Charles Ayrton",GBR,368,00:02:13,13,12,0.3077,0.0833,-0.2244
30-03-04-p-191,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"McMillan-Scott, Edward H.C.",GBR,394,00:02:26,20,20,0.25,0.4,0.15
30-03-04-p-194,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Banotti, Mary Elizabeth",IRL,378,00:02:29,14,16,0.0714,0.3125,0.2411
30-03-04-p-198,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"De Rossa, Proinsias",IRL,244,00:01:39,12,13,0.0,0.0,0.0
30-03-04-p-200,I,2004-03-30,Joint initiative for peace stability and democracy throughout the Middle East,"Roche, Dick",IRL,373,00:01:52,18,16,0.1111,0.1875,0.0764
30-03-04-p-206,I,2004-03-30,Situation in Kosovo,"Roche, Dick",IRL,1428,00:08:35,56,54,0.0714,-0.0741,-0.1455
30-03-04-p-207,I,2004-03-30,Situation in Kosovo,"Patten, Christopher",GBR,1084,00:08:24,58,57,-0.0259,-0.0702,-0.0443
31-03-04-m-009,II,2004-03-31,European Council / Security,"Ahern, Bertie",IRL,3621,00:20:33,161,155,0.0683,0.0452,-0.0231
31-03-04-m-013,II,2004-03-31,European Council / Security,"Watson, Graham R.",GBR,645,00:04:16,40,33,0.05,-0.0303,-0.0803
31-03-04-m-016,II,2004-03-31,European Council / Security,"Collins, Gerard",IRL,760,00:04:13,38,31,0.1842,0.0753,-0.1089
31-03-04-m-019,II,2004-03-31,European Council / Security,"Doyle, Avril",IRL,580,00:03:35,36,32,0.1944,-0.0625,-0.2569
31-03-04-m-031,II,2004-03-31,European Council / Security,"Booth, Graham",GBR,197,00:01:05,11,8,0.1818,0.25,0.0682
31-03-04-m-033,II,2004-03-31,European Council / Security,"Evans, Jonathan",GBR,399,00:02:13,22,22,0.1364,0.0,-0.1364
31-03-04-m-034,II,2004-03-31,European Council / Security,"De Rossa, Proinsias",IRL,483,00:03:37,19,14,0.0,0.0,0.0
31-03-04-m-043,II,2004-03-31,European Council / Security,"Corbett, Richard",GBR,551,00:03:12,29,33,0.1034,0.0303,-0.0731
31-03-04-m-048,II,2004-03-31,European Council / Security,"Tannock, Timothy Charles Ayrton",GBR,342,00:02:13,16,17,0.0625,-0.1176,-0.1801
31-03-04-m-051,II,2004-03-31,European Council / Security,"Ahern, Bertie",IRL,3216,00:17:37,115,136,0.1043,0.0588,-0.0455
